patientId;holterMac;flexMac
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp;
821.0;688.2;;;;;;;;;;;;;;0.92355114;-0.25080112;-0.20520645;;;;;648.3;
821.0;688.2;;;;;;;;;;;;;;;;;4.0894804;-0.6485183;-3.8453321;;658.0;
821.0;688.2;;;;;;;;;;;;;;0.92715234;-0.25782037;-0.20764793;;;;;658.0;
821.0;688.2;;;;;;;;;;;;;;;;;4.547258;-0.67522204;-3.9063692;;658.0;
821.0;688.2;;;;;;;;;;;;;;0.93215734;-0.24573503;-0.20844142;;;;;658.0;
936.0;747.8;;;;;;;;;;;;;;;;;4.928739;-0.61037016;-3.9864802;;667.6;
936.0;747.8;;;;;;;;;;;;;;0.9277627;-0.24555193;-0.20703757;;;;;667.6;
936.0;747.8;;;;;;;;;;;;;;;;;5.1728873;-0.88122195;-4.0894804;;667.6;
936.0;747.8;;;;;;;;;;;;;;0.93148595;-0.24701682;-0.21027254;;;;;667.6;
936.0;747.8;;;;;;;;;;;;;;;;;5.508591;-0.84688866;-4.078036;;677.2;
936.0;747.8;;;;;;;;;;;;;;0.92446667;-0.24329355;-0.20825832;;;;;677.2;
936.0;747.8;;;;;;;;;;;;;;;;;5.649739;-0.9575182;-4.0894804;;677.2;
936.0;747.8;;;;;;;;;;;;;;0.9251381;-0.2482986;-0.20862453;;;;;677.2;
936.0;747.8;;;;;;;;;;;;;;;;;5.779443;-1.0185553;-4.203925;;686.8;
936.0;747.8;;;;;;;;;;;;;;0.92355114;-0.2501297;-0.20599994;;;;;686.8;
936.0;747.8;;;;;;;;;;;;;;;;;5.5619984;-0.9765923;-4.1962953;;686.8;
936.0;747.8;;;;;;;;;;;;;;0.9247108;-0.24787134;-0.20654927;;;;;686.8;
936.0;748.9;;;;;;;;;;;;;;;;;5.3636284;-0.87740713;-4.1657767;;696.4;
936.0;748.9;;;;;;;;;;;;;;0.92104864;-0.25800347;-0.20874661;;;;;696.4;
936.0;748.9;;;;;;;;;;;;;;;;;5.447554;-0.8964812;-4.234443;;696.4;
936.0;748.9;;;;;;;;;;;;;;0.9234901;-0.25232702;-0.21234779;;;;;696.4;
936.0;748.9;;;;;;;;;;;;;;;;;5.584887;-0.9727775;-4.226814;;706.1;
936.0;748.9;;;;;;;;;;;;;;0.918424;-0.25586718;-0.21045564;;;;;706.1;
936.0;748.9;;;;;;;;;;;;;;;;;5.9930725;-1.3046663;-4.299295;;706.1;
936.0;748.9;;;;;;;;;;;;;;0.9252602;-0.24884793;-0.20892972;;;;;706.1;
936.0;748.9;;;;;;;;;;;;;;;;;6.263924;-1.5678884;-4.2191844;;715.7;
936.0;748.9;;;;;;;;;;;;;;0.92324597;-0.2684408;-0.21295816;;;;;715.7;
936.0;748.9;;;;;;;;;;;;;;;;;6.416517;-1.5144811;-4.413739;;715.7;
936.0;748.9;;;;;;;;;;;;;;0.93148595;-0.23981445;-0.2097232;;;;;715.7;
938.0;808.0;;;;;;;;;;;;;;;;;6.5233316;-1.6060365;-4.2115545;;725.4;
